Player,REC,YDS,TDS,FL,FPTS
Travis Kelce KC,5.8,61.4,0.5,0.0,9.1
Sam LaPorta DET,5.6,59.3,0.5,0.0,8.9
Mark Andrews BAL,4.7,54.1,0.4,0.0,7.9
Kyle Pitts ATL,4.4,56.3,0.3,0.0,7.6
George Kittle SF,4.2,52.8,0.4,0.0,7.3
Dalton Kincaid BUF,5.1,52.9,0.4,0.1,7.3
Trey McBride ARI,5.4,54.9,0.3,0.0,7.2
Evan Engram DEN,5.7,52.2,0.3,0.1,6.7
David Njoku CLE,4.3,48.2,0.3,0.1,6.7
Jake Ferguson DAL,4.3,44.9,0.3,0.0,6.4
Dallas Goedert PHI,4.2,45.0,0.2,0.0,5.9
Brock Bowers LV,3.8,43.0,0.3,0.1,5.8
Dalton Schultz HOU,3.6,39.5,0.3,0.0,5.6
Taysom Hill NO,1.5,15.5,0.1,0.0,5.5
Pat Freiermuth PIT,3.3,35.5,0.2,0.0,4.9
Hunter Henry NE,3.0,32.5,0.2,0.0,4.7
Cade Otton TB,3.1,31.7,0.2,0.0,4.6
Cole Kmet CHI,3.3,31.4,0.2,0.0,4.6
Juwan Johnson NO,2.8,29.6,0.3,0.0,4.6
Noah Fant SEA,3.0,32.6,0.2,0.0,4.4
Tyler Conklin LAC,3.4,33.4,0.2,0.0,4.4
Luke Musgrave GB,3.1,31.3,0.2,0.0,4.3
Colby Parkinson LAR,2.7,30.2,0.2,0.0,4.2
Jonnu Smith MIA,2.4,27.9,0.2,0.0,3.9
Zach Ertz WAS,2.9,27.0,0.2,0.0,3.7
Chig Okonkwo TEN,2.8,28.6,0.1,0.0,3.7
Mike Gesicki CIN,2.5,24.4,0.2,0.0,3.6
Isaiah Likely BAL,2.1,23.2,0.2,0.0,3.4
Dawson Knox BUF,1.8,18.8,0.2,0.0,3.1
Johnny Mundt JAC,2.3,22.5,0.1,0.0,3.0
Greg Dulcich NYG,2.2,24.1,0.1,0.0,3.0
Ja'Tavion Sanders CAR,2.3,23.1,0.1,0.0,3.0
Kylen Granson PHI,2.1,21.5,0.1,0.0,2.9
Tucker Kraft GB,1.9,19.0,0.1,0.0,2.8
Theo Johnson NYG,2.2,20.3,0.1,0.1,2.6
Michael Mayer LV,1.8,18.7,0.1,0.0,2.5
Josh Oliver MIN,1.6,16.7,0.1,0.0,2.3
Ben Sinnott WAS,1.6,17.5,0.1,0.0,2.3
Daniel Bellinger NYG,1.9,16.9,0.1,0.0,2.2
Will Dissly LAC,1.5,14.8,0.1,0.0,2.1
Mo Alie-Cox IND,1.1,12.7,0.1,0.0,2.0
Brevin Jordan HOU,1.0,12.2,0.1,0.0,1.9
Tanner Hudson CIN,1.3,12.9,0.1,0.0,1.8
Adam Trautman DEN,1.1,11.3,0.1,0.0,1.8
Foster Moreau NO,1.1,11.7,0.1,0.0,1.7
Durham Smythe CHI,1.3,12.5,0.1,0.0,1.7
Noah Gray KC,1.2,12.4,0.1,0.0,1.7
Davis Allen LAR,1.1,11.8,0.1,0.0,1.6
Tommy Tremble CAR,0.7,6.5,0.2,0.0,1.6
Brock Wright DET,0.9,9.3,0.1,0.0,1.5
Austin Hooper NE,1.2,12.4,0.1,0.0,1.5
Lucas Krull DEN,1.1,9.9,0.1,0.0,1.5
Josh Whyle TEN,0.9,8.9,0.1,0.0,1.4
Drew Ogletree IND,0.7,8.4,0.1,0.0,1.2
Darnell Washington PIT,1.1,10.0,0.0,0.0,1.2
Elijah Higgins ARI,0.9,9.1,0.1,0.0,1.2
Cade Stover HOU,0.7,7.5,0.1,0.0,1.2
AJ Barner SEA,0.7,7.5,0.1,0.0,1.2
Luke Schoonmaker DAL,0.7,6.9,0.1,0.0,1.1
Stone Smartt NYJ,0.6,6.7,0.1,0.0,1.1
Erick All Jr. CIN,0.6,5.8,0.1,0.0,1.0
Jeremy Ruckert NYJ,0.8,7.8,0.0,0.0,1.0
Connor Heyward PIT,0.8,6.9,0.0,0.0,1.0
Ian Thomas LV,0.6,6.1,0.1,0.0,0.9
Drew Sample CIN,0.6,5.7,0.1,0.0,0.9
Payne Durham TB,0.5,5.7,0.1,0.0,0.9
Jaheim Bell NE,0.6,6.6,0.0,0.0,0.9
John Bates WAS,0.6,5.6,0.0,0.0,0.8
Brenton Strange JAC,0.5,5.0,0.1,0.0,0.8
Pharaoh Brown MIA,0.3,4.8,0.1,0.0,0.8
Jared Wiley KC,0.6,5.6,0.0,0.0,0.7
Ross Dwelley SF,0.3,4.0,0.1,0.0,0.7
Devin Culp TB,0.4,3.7,0.1,0.0,0.7
Harrison Bryant PHI,0.4,3.8,0.0,0.0,0.7
Tanner McLachlan CIN,0.4,3.4,0.1,0.0,0.6
Hunter Long JAC,0.4,4.9,0.0,0.0,0.6
Tip Reiman ARI,0.5,4.9,0.0,0.0,0.6
Quintin Morris JAC,0.3,3.5,0.0,0.0,0.6
Dallin Holker NO,0.4,3.1,0.1,0.0,0.6
Donald Parham Jr. PIT,0.4,4.3,0.0,0.0,0.6
Messiah Swinson GB,0.5,5.0,0.0,0.0,0.5
Ko Kieft TB,0.2,2.0,0.0,0.0,0.5
Grant Calcaterra PHI,0.3,3.7,0.0,0.0,0.5
Brady Russell SEA,0.4,3.5,0.0,0.0,0.5
Ben Sims GB,0.2,2.1,0.0,0.0,0.4
Luke Farrell SF,0.4,3.8,0.0,0.0,0.4
Nick Muse PHI,0.3,2.6,0.0,0.0,0.4
Charlie Kolar BAL,0.2,2.2,0.0,0.0,0.4
Will Mallory IND,0.3,3.6,0.0,0.0,0.4
Julian Hill MIA,0.3,3.0,0.0,0.0,0.3
Charlie Woerner ATL,0.3,2.6,0.0,0.0,0.3
Chris Manhertz NYG,0.3,2.5,0.0,0.0,0.3
Brenden Bates CLE,0.3,2.9,0.0,0.0,0.3
Travis Vokolek ARI,0.3,2.6,0.0,0.0,0.3
Nate Adkins DEN,0.2,2.1,0.0,0.0,0.2
Eric Saubert SEA,0.2,1.4,0.0,0.0,0.2
Jake Tonges SF,0.1,0.5,0.0,0.0,0.1
T.J. Hockenson MIN,0.0,0.0,0.0,0.0,0.0
Tyler Higbee LAR,0.0,0.0,0.0,0.0,0.0
John Stephens Jr. DAL,0.0,0.0,0.0,0.0,0.0
Brevyn Spann-Ford DAL,0.0,0.0,0.0,0.0,0.0
Thomas Odukoya TEN,0.0,0.0,0.0,0.0,0.0
Tanner Conner MIA,0.0,0.0,0.0,0.0,0.0
Colson Yankoff WAS,0.0,0.0,0.0,0.0,0.0
Albert Okwuegbunam Jr. IND,0.0,0.0,0.0,0.0,0.0
Kenny Yeboah DET,0.0,0.0,0.0,0.0,0.0
Jelani Woods IND,0.0,0.0,0.0,0.0,0.0
David Martin-Robinson TEN,0.0,0.0,0.0,0.0,0.0
Robert Tonyan KC,0.0,0.0,0.0,0.0,0.0
Irv Smith Jr. HOU,0.0,0.0,0.0,0.0,0.0
Tyree Jackson WAS,0.0,0.0,0.0,0.0,0.0
Stephen Carlson CHI,0.0,0.0,0.0,0.0,0.0
Josiah Deguara ARI,0.0,0.0,0.0,0.0,0.0
Stephen Sullivan CAR,0.0,0.0,0.0,0.0,0.0
Sean McKeon IND,0.0,0.0,0.0,0.0,0.0
Lawrence Cager WAS,0.0,0.0,0.0,0.0,0.0
Tre' McKitty CLE,0.0,0.0,0.0,0.0,0.0
Zach Davidson BUF,0.0,0.0,0.0,0.0,0.0
Feleipe Franks ATL,0.0,0.0,0.0,0.0,0.0
Jack Stoll NO,0.0,0.0,0.0,0.0,0.0
Shane Zylstra DET,0.0,0.0,0.0,0.0,0.0
Teagan Quitoriano ATL,0.0,0.0,0.0,0.0,0.0
Cole Turner WAS,0.0,0.0,0.0,0.0,0.0
John FitzPatrick GB,0.0,0.0,0.0,0.0,0.0
James Mitchell CAR,0.0,0.0,0.0,0.0,0.0
Nikola Kalinic ATL,0.0,0.0,0.0,0.0,0.0
Cameron Latu PHI,0.0,0.0,0.0,0.0,0.0
Zack Kuntz NYJ,0.0,0.0,0.0,0.0,0.0
Brayden Willis SF,0.0,0.0,0.0,0.0,0.0
Blake Whiteheart CLE,0.0,0.0,0.0,0.0,0.0
Princeton Fant DAL,0.0,0.0,0.0,0.0,0.0
Tucker Fisk LAC,0.0,0.0,0.0,0.0,0.0
Cole Fotheringham DEN,0.0,0.0,0.0,0.0,0.0
